intertidal_site_name,intertidal_sort_order,latitude,longitude,MARINe_site_code,intertidal_geographic_region,SampleSeason,SamplingSeasonCode,TargetSpecies,graph_classification,size_mm,total
Post Point,3550,48.7120018,-122.51913,POP,WA Salish Sea,118,SU10,fucus,Nucella spp,10,1
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,barnacle,Nucella spp,18,1
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,barnacle,Nucella spp,20,2
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,barnacle,Nucella spp,21,1
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,barnacle,Nucella spp,22,2
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,13,1
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,19,2
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,20,2
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,21,3
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,22,3
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,23,2
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,24,3
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,25,4
Manchester State Park; Central Puget Sound,3680,47.57688141,-122.54411,MAN,WA Salish Sea,134,SU14,fucus,Nucella spp,26,1
